;;;
;;;
2021;2022;2023;2024
3 903,5;4 592,2;5 993,4;7 475,2
3,2;3,2;3,8;4,1
119,5;97,0;115,6;112,1
5 904,1;6 580,8;8 845,2;10 727,9
5 329,1;5 975,7;7 760,7;9 359,0
563,2;644,3;829,4;1 018,0
575,0;605,1;1 084,5;1 368,8
3 477,3;3 482,1;5 001,6;6 376,9
421 932;452 133;466 667;475 762
378 757;466 340;433 427;430 436
86 137;102 534;114 898;142 982
1 027 392;1 069 263;1 107 263;1 190 687
323,4;417,8;604,7;855,3
59,2;54,6;53,5;94,1
88,3;132,8;269,3;415,2
188,6;235,2;383,6;619,7
134,8;182,6;221,1;235,6
;;;
25,2;36,2;29,8;22,9
90,7;122,7;159,8;188,1
18,9;23,6;31,5;24,6
111,0;107,4;118,2;122,6
114,4;111,3;128,6;144,0
;;;
105,3;123,2;150,1;129,3
120,4;116,6;173,2;170,3
112,8;107,7;112,3;129,0
1 752,4;2 704,3;3 770,8;5 181,8
637,4;905,0;1 045,3;1 175,1
173,6;228,1;438,6;705,8
10,7;9,9;10,7;13,6
;;;
;;;
